Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.7) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.060033)
Drift Lon: 13.368334 m (1.138188) 
Drift Lat: 89.280599 m (1.602554) 
Drift:    90.277531 m (1.637860) 
Drift Azi: 8.515358 deg (0.690090)
dz: 10.504693 m (3.727520)

RMS:  1.5413 ms (0.331204)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.882117 -132.690453 4742.770386  -1.422038  -0.004552  -0.019050
  2:  -4.882108 -132.690443 4742.720550  -0.402272  -0.002585  -0.010818
  3:  -4.882112 -132.690440 4742.712008  -1.355615   0.000101   0.000423
  4:  -4.882107 -132.690455 4742.763767  -1.420866   0.005334   0.022320
  5:  -4.882098 -132.690608 4743.382305  -0.292471   0.004103   0.017173
  6:  -4.882077 -132.690578 4743.227310   0.861230  -0.009685  -0.040545
  7:  -4.882430 -132.690233 4742.516768  -0.154459  -0.005129  -0.021467
  8:  -4.883143 -132.689708 4743.303485   0.750593   0.030876   0.129257
  9:  -4.883957 -132.689035 4746.648232   1.317879   0.079390   0.332621
 10:  -4.884765 -132.688328 4752.878485   1.046155   0.118321   0.496363
 11:  -4.885473 -132.687812 4760.457305   1.006411   0.143627   0.603485
 12:  -4.886192 -132.687243 4770.340671  -0.073478   0.144469   0.608198
 13:  -4.886658 -132.687040 4777.052811   2.914852   0.079657   0.335948
 14:  -4.886882 -132.687107 4779.684127   0.493382   0.022700   0.095756
 15:  -4.886983 -132.687382 4779.863363   0.267811  -0.009019  -0.038045
 16:  -4.887012 -132.687818 4778.737569   1.713683  -0.021729  -0.091659
 17:  -4.887005 -132.688380 4777.415619  -0.448530  -0.023125  -0.097491
 18:  -4.886938 -132.689040 4776.092229   0.282373  -0.027758  -0.117001
 19:  -4.886738 -132.689662 4774.053469  -0.968035  -0.036781  -0.154941
 20:  -4.886440 -132.690207 4771.625298   1.177059  -0.034054  -0.143425
 21:  -4.886163 -132.690600 4769.767619   2.587669   0.009831   0.041397
 22:  -4.886902 -132.692660 4793.284104  -2.456739  -0.022215  -0.093940
 23:  -4.886670 -132.692207 4786.161773  -2.016172  -0.094809  -0.400339
 24:  -4.886803 -132.691440 4782.245592  -0.839738  -0.028119  -0.118660
 25:  -4.887202 -132.690577 4783.172843  -1.070900   0.046097   0.194555
 26:  -4.887700 -132.689695 4787.930845  -0.415239   0.096372   0.407173
 27:  -4.888168 -132.688803 4794.812600   0.426411   0.174559   0.738685
 28:  -4.888917 -132.687807 4809.682479  -0.290504   0.290724   1.233941
 29:  -4.889655 -132.686327 4831.184987  -0.831311   0.429864   1.832531
 30:  -4.890458 -132.684722 4862.274835  -1.090015   0.608432   2.610289
 31:  -4.891448 -132.683182 4904.844267  -0.614169   0.782672   3.387356
 32:  -4.892480 -132.681660 4956.144930   3.204420   0.916776   4.011463
 33:  -4.893532 -132.680142 5015.711105   0.234609   1.056744   4.677218
 34:  -4.894602 -132.678598 5084.023912   0.544209   1.184677   5.315058
 35:  -4.895635 -132.677092 5157.570377  -0.063585   1.144378   5.207919
 36:  -4.896033 -132.675392 5222.138336  -1.707245   0.998199   4.598257
 37:  -4.895925 -132.673613 5278.710578   0.111350   0.926330   4.314567
 38:  -4.895535 -132.671413 5349.743165   5.464122   0.681780   3.221240
 39:  -4.893775 -132.669017 5400.251862  -2.083276   0.077293   0.368143
 40:  -4.891527 -132.668328 5375.746602   0.305003  -0.196302  -0.931137
 41:  -4.889717 -132.667660 5370.663177   1.027092  -0.094467  -0.447725
 42:  -4.887785 -132.667143 5364.724957  -0.972483  -0.081149  -0.384046
 43:  -4.885843 -132.666763 5360.827986   2.971293  -0.025737  -0.121795
 44:  -4.883810 -132.666450 5361.942285  -1.280341   0.073187   0.346172
 45:  -4.881762 -132.666193 5369.737047  -2.571727   0.193483   0.916313
 46:  -4.879773 -132.665977 5384.849347  -0.706151   0.263577   1.252122
 47:  -4.877702 -132.665908 5401.895290  -0.369047   0.175165   0.834804
 48:  -4.875570 -132.666277 5406.687949  -1.662064   0.063636   0.303488
 49:  -4.873437 -132.666888 5409.811394   1.040739   0.054621   0.260756
 50:  -4.871392 -132.667683 5413.118385  -0.277468   0.042489   0.202916
 51:  -4.869408 -132.668707 5415.040007  -0.807564  -0.098532  -0.470712
 52:  -4.867630 -132.670190 5401.844642  -0.295027  -0.309320  -1.474192
 53:  -4.866095 -132.672028 5378.317489   0.861138  -0.409659  -1.944254
 54:  -4.864787 -132.674050 5352.753885  -0.141168  -0.389008  -1.837164
 55:  -4.863712 -132.676065 5330.987684   0.696331  -0.316658  -1.489613
