Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000024) 
Lon:   -131.91041 deg (0.000014) 
X:     -291.2 m (1.6) 
Y:    -170.4 m (2.6) 
Depth: -4742.7 m (5.2) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1506.4 m/s (1.563201)
Drift Lon: -291.238985 m (1.590248) 
Drift Lat: -170.446352 m (2.624405) 
Drift:    337.451225 m (2.125280) 
Drift Azi: 239.662181 deg (0.375788)
dz: 88.252172 m (5.233547)

RMS:  1.6192 ms (0.417777)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.820444  -1.431292  -0.282248  -1.194047
  2:  -6.291727 -131.904583 4786.414910   0.260439  -0.277174  -1.171650
  3:  -6.291528 -131.905462 4774.286886  -0.572583  -0.248667  -1.048405
  4:  -6.291453 -131.905705 4771.297664  -0.575062  -0.231621  -0.975975
  5:  -6.291395 -131.905908 4768.923498   0.467346  -0.215629  -0.908181
  6:  -6.291107 -131.907010 4758.004249   0.018386  -0.162075  -0.681051
  7:  -6.291060 -131.907202 4756.437810   0.084619  -0.149378  -0.627480
  8:  -6.290200 -131.908420 4750.468022  -0.887030   0.031916   0.133891
  9:  -6.288767 -131.908090 4760.181723  -0.802373   0.245257   1.030976
 10:  -6.287128 -131.907217 4781.793140  -0.541085   0.460011   1.942441
 11:  -6.285167 -131.906347 4817.211541  -0.539906   0.690832   2.938807
 12:  -6.283137 -131.905523 4864.840946  -0.800977   0.886501   3.808259
 13:  -6.281080 -131.904713 4924.451940   2.786352   1.084072   4.716098
 14:  -6.278448 -131.903692 5016.852816   3.954085   0.990234   4.389861
 15:  -6.273580 -131.905212 5177.391067  -3.371535   0.289844   1.323965
 16:  -6.273465 -131.907800 5158.361164   2.055560  -0.196303  -0.894602
 17:  -6.273525 -131.910430 5147.674594  -0.334297  -0.157609  -0.716338
 18:  -6.273922 -131.912477 5135.863947  -0.599483  -0.477553  -2.165373
 19:  -6.283453 -131.922892 5021.605937   0.042292  -0.044036  -0.195269
 20:  -6.286257 -131.923725 5001.574605   0.535109  -0.221527  -0.978530
 21:  -6.288412 -131.924007 4988.242878  -1.531252  -0.207784  -0.914980
 22:  -6.290513 -131.923982 4976.270765  -0.757020  -0.171843  -0.755063
 23:  -6.293153 -131.923657 4966.915438  -1.250805  -0.067584  -0.296360
 24:  -6.295177 -131.923190 4964.618444  -0.279731  -0.035996  -0.157802
 25:  -6.297157 -131.922403 4962.759396   0.118065  -0.038380  -0.168204
 26:  -6.298990 -131.921278 4960.185896   0.502903  -0.025707  -0.112614
 27:  -6.301560 -131.919178 4964.132468  -0.624712   0.113829   0.498936
 28:  -6.303075 -131.917572 4972.491369  -0.720437   0.133567   0.586423
 29:  -6.305237 -131.914290 4994.487687   3.650569   0.197312   0.870850
 30:  -6.305837 -131.912313 5000.925039  -0.510159   0.083205   0.367425
 31:  -6.306145 -131.909607 5008.123278   2.677758   0.214980   0.951177
 32:  -6.306398 -131.907475 5026.902759   0.906723   0.308456   1.369428
 33:  -6.306340 -131.905357 5045.394163   3.169346   0.258577   1.152707
 34:  -6.305842 -131.903327 5057.804980  -0.044358   0.237660   1.061439
 35:  -6.305165 -131.901338 5073.955268  -0.464561   0.298520   1.337411
 36:  -6.304345 -131.899448 5093.651777  -0.622587   0.319579   1.437305
 37:  -6.303232 -131.897627 5113.088290  -2.305363   0.297286   1.341668
 38:  -6.301868 -131.896037 5129.133129  -2.599395   0.254039   1.149994
 39:  -6.300270 -131.894625 5143.928109  -1.355387   0.267295   1.213820
 40:  -6.298510 -131.893337 5161.778688  -0.108396   0.281595   1.283443
 41:  -6.296587 -131.892307 5177.723531  -1.185404   0.303061   1.385221
 42:  -6.294602 -131.891417 5198.099792  -0.340348   0.258837   1.187946
 43:  -6.292435 -131.890960 5209.098124  -0.872563   0.164600   0.756926
 44:  -6.290087 -131.890790 5218.884969   0.024025   0.054876   0.252884
 45:  -6.287958 -131.891167 5214.672415  -0.324183  -0.715641  -3.294936
 46:  -6.287698 -131.893177 5130.215017   3.486744  -1.301752  -5.900877
 47:  -6.288135 -131.894955 5056.449405   1.620977  -1.170854  -5.229352
