Bootstrap inversion results (2sigma uncertainty)
Station: WC03
Lat:   -5.70770 deg (0.000013) 
Lon:   -134.09131 deg (0.000015) 
X:     -28.8 m (1.7) 
Y:    15.3 m (1.4) 
Depth: -4483.4 m (6.9) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (2.036219)
Drift Lon: -28.788066 m (1.711522) 
Drift Lat: 15.259548 m (1.444889) 
Drift:    32.594094 m (1.392893) 
Drift Azi: 297.938562 deg (3.079467)
dz: 6.567070 m (6.923235)

RMS:  1.4225 ms (0.350955)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.705850 -134.093805 4496.610485   3.952112   0.000000   0.000000
  2:  -5.705850 -134.093805 4496.610485  -1.519074  -0.034796  -0.138067
  3:  -5.706273 -134.093505 4492.800527  -0.526106  -0.063597  -0.252167
  4:  -5.706772 -134.093118 4489.085131  -1.450682  -0.054392  -0.215481
  5:  -5.707555 -134.092832 4486.630226  -0.333469  -0.014823  -0.058694
  6:  -5.708542 -134.092862 4487.687558   1.071304   0.060808   0.240859
  7:  -5.709680 -134.093425 4494.875950  -2.109439   0.191938   0.761292
  8:  -5.710600 -134.094958 4513.004064  -0.362246   0.394522   1.571342
  9:  -5.711332 -134.096932 4544.235256   1.047606   0.623494   2.500781
 10:  -5.712070 -134.098982 4588.754725   0.968366   0.834851   3.381410
 11:  -5.713035 -134.100848 4643.849572  -0.997311   1.018546   4.173606
 12:  -5.714982 -134.104492 4783.438023   3.274573   1.290457   5.450906
 13:  -5.718332 -134.107925 4987.005605   1.157339   0.475449   2.092970
 14:  -5.729473 -134.089637 5092.347500  -0.314459   0.375417   1.686744
 15:  -5.729188 -134.087642 5090.381777  -1.437334  -0.307556  -1.380831
 16:  -5.726807 -134.084257 5017.474156   2.642005  -0.561916  -2.489381
 17:  -5.725347 -134.082980 4975.929818   0.138240  -0.678617  -2.979646
 18:  -5.723712 -134.081717 4936.071515  -1.774949  -0.604713  -2.632957
 19:  -5.719640 -134.078702 4877.964687   0.181910  -0.202473  -0.871534
 20:  -5.717892 -134.077468 4870.493849  -0.821488  -0.055791  -0.239740
 21:  -5.716077 -134.076282 4871.347471   0.941334   0.035583   0.152980
 22:  -5.714112 -134.075253 4875.139686  -0.978653   0.104903   0.451232
 23:  -5.712147 -134.074407 4883.500534  -0.137665   0.072242   0.311297
 24:  -5.710057 -134.073987 4883.768372  -1.397973  -0.092941  -0.400448
 25:  -5.707820 -134.074083 4872.637333   0.249425  -0.172719  -0.742669
 26:  -5.705458 -134.074435 4863.830976  -1.902162  -0.043632  -0.187211
 27:  -5.703177 -134.074822 4866.975142  -0.209639   0.079823   0.342811
 28:  -5.701015 -134.075420 4873.001865   0.726508  -0.026520  -0.114056
 29:  -5.699027 -134.076648 4864.074803   1.493862  -0.141607  -0.607947
 30:  -5.697183 -134.078140 4856.181312  -0.839054  -0.059945  -0.256850
 31:  -5.695565 -134.079620 4855.863759   2.359242  -0.018755  -0.080400
 32:  -5.694242 -134.081260 4853.470702   0.654692  -0.070195  -0.300671
 33:  -5.693163 -134.083165 4847.689461   0.364086  -0.029671  -0.126932
 34:  -5.692172 -134.085115 4849.910259   1.342773  -0.006107  -0.026143
 35:  -5.691568 -134.087197 4846.849558  -0.490728  -0.091505  -0.391337
 36:  -5.691353 -134.089368 4839.009123  -0.107825  -0.029630  -0.126522
 37:  -5.691137 -134.091547 4843.309992   1.122988   0.053189   0.227367
 38:  -5.691260 -134.093783 4845.848853  -0.161176   0.030591   0.130806
 39:  -5.691695 -134.095832 4846.179278   0.351290  -0.021159  -0.090488
 40:  -5.692447 -134.097748 4843.124311   0.390788   0.020630   0.088177
 41:  -5.693240 -134.099632 4848.571434  -1.654022   0.038979   0.166716
 42:  -5.694402 -134.101365 4848.206379  -1.202042  -0.057980  -0.247980
 43:  -5.695827 -134.102768 4841.160466   0.057744  -0.136954  -0.585079
 44:  -5.697648 -134.104037 4829.565795  -1.418983  -0.240888  -1.026305
 45:  -5.698920 -134.104278 4807.075723  -2.489788  -0.382439  -1.621468
 46:  -5.699865 -134.104133 4782.261675   0.189348  -0.513344  -2.166605
 47:  -5.701277 -134.102240 4698.080775  -0.039779  -0.546910  -2.267510
