Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.2) 
Y:    89.3 m (1.5) 
Depth: -4739.5 m (3.6) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.021489)
Drift Lon: 13.369406 m (1.150050) 
Drift Lat: 89.274980 m (1.505068) 
Drift:    90.272223 m (1.530316) 
Drift Azi: 8.516736 deg (0.708643)
dz: 10.500241 m (3.588898)

RMS:  1.5437 ms (0.328791)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.882117 -132.690453 4742.774806  -1.438277  -0.004551  -0.019046
  2:  -4.882108 -132.690443 4742.724970  -0.405218  -0.002586  -0.010822
  3:  -4.882112 -132.690440 4742.716428  -1.362087   0.000101   0.000424
  4:  -4.882107 -132.690455 4742.768188  -1.414624   0.005335   0.022324
  5:  -4.882098 -132.690608 4743.386730  -0.280421   0.004103   0.017175
  6:  -4.882077 -132.690578 4743.231737   0.881956  -0.009685  -0.040547
  7:  -4.882430 -132.690233 4742.521141  -0.162413  -0.005135  -0.021491
  8:  -4.883143 -132.689708 4743.307750   0.769278   0.030879   0.129273
  9:  -4.883957 -132.689035 4746.652371   1.323761   0.079399   0.332664
 10:  -4.884765 -132.688328 4752.882495   1.043056   0.118313   0.496323
 11:  -4.885473 -132.687812 4760.461204   1.004232   0.143635   0.603521
 12:  -4.886192 -132.687243 4770.344454  -0.079576   0.144455   0.608120
 13:  -4.886658 -132.687040 4777.056523   2.913631   0.079657   0.335950
 14:  -4.886882 -132.687107 4779.687809   0.502802   0.022703   0.095768
 15:  -4.886983 -132.687382 4779.867039   0.266295  -0.009017  -0.038038
 16:  -4.887012 -132.687818 4778.741253   1.716919  -0.021726  -0.091645
 17:  -4.887005 -132.688380 4777.419318  -0.454200  -0.023121  -0.097475
 18:  -4.886938 -132.689040 4776.095955   0.280965  -0.027774  -0.117068
 19:  -4.886738 -132.689662 4774.057238  -0.972033  -0.036782  -0.154947
 20:  -4.886440 -132.690207 4771.629122   1.182405  -0.034052  -0.143416
 21:  -4.886163 -132.690600 4769.771489   2.601861   0.009836   0.041416
 22:  -4.886902 -132.692660 4793.287911  -2.462573  -0.022215  -0.093937
 23:  -4.886670 -132.692207 4786.165604  -2.013415  -0.094811  -0.400354
 24:  -4.886803 -132.691440 4782.249391  -0.852074  -0.028117  -0.118651
 25:  -4.887202 -132.690577 4783.176568  -1.073902   0.046088   0.194515
 26:  -4.887700 -132.689695 4787.934479  -0.415078   0.096364   0.407150
 27:  -4.888168 -132.688803 4794.816146   0.413824   0.174555   0.738632
 28:  -4.888917 -132.687807 4809.685893  -0.301285   0.290708   1.233859
 29:  -4.889655 -132.686327 4831.188254  -0.826013   0.429856   1.832478
 30:  -4.890458 -132.684722 4862.277939  -1.079641   0.608394   2.610074
 31:  -4.891448 -132.683182 4904.847182  -0.595612   0.782640   3.387195
 32:  -4.892480 -132.681660 4956.147649   3.205195   0.916777   4.011433
 33:  -4.893532 -132.680142 5015.713625   0.207028   1.056774   4.677502
 34:  -4.894602 -132.678598 5084.026231   0.533660   1.184690   5.315105
 35:  -4.895635 -132.677092 5157.572504  -0.070360   1.144404   5.208074
 36:  -4.896033 -132.675392 5222.140351  -1.687514   0.998167   4.597957
 37:  -4.895925 -132.673613 5278.712544   0.115133   0.926333   4.314652
 38:  -4.895535 -132.671413 5349.745101   5.484637   0.681805   3.221313
 39:  -4.893775 -132.669017 5400.253930  -2.060456   0.077316   0.368251
 40:  -4.891527 -132.668328 5375.748924   0.314517  -0.196283  -0.931040
 41:  -4.889717 -132.667660 5370.665695   1.006258  -0.094463  -0.447700
 42:  -4.887785 -132.667143 5364.727691  -0.988608  -0.081140  -0.383998
 43:  -4.885843 -132.666763 5360.830938   2.962467  -0.025745  -0.121833
 44:  -4.883810 -132.666450 5361.945466  -1.279897   0.073233   0.346385
 45:  -4.881762 -132.666193 5369.740455  -2.549089   0.193511   0.916431
 46:  -4.879773 -132.665977 5384.852970  -0.718737   0.263537   1.251968
 47:  -4.877702 -132.665908 5401.899138  -0.385736   0.175176   0.834861
 48:  -4.875570 -132.666277 5406.692046  -1.664060   0.063675   0.303661
 49:  -4.873437 -132.666888 5409.815747   1.033330   0.054634   0.260816
 50:  -4.871392 -132.667683 5413.122988  -0.267882   0.042480   0.202878
 51:  -4.869408 -132.668707 5415.044859  -0.799346  -0.098525  -0.470666
 52:  -4.867630 -132.670190 5401.849742  -0.308404  -0.309298  -1.474061
 53:  -4.866095 -132.672028 5378.322830   0.860786  -0.409660  -1.944248
 54:  -4.864787 -132.674050 5352.759448  -0.148755  -0.389001  -1.837141
 55:  -4.863712 -132.676065 5330.993440   0.705988  -0.316642  -1.489538
 56:  -4.862823 -132.678050 5313.849100   1.416794  -0.263547  -1.235912
 57:  -4.862080 -132.680120 5299.311379  -0.203933  -0.201670  -0.942931
 58:  -4.861460 -132.682227 5289.643959  -0.354393  -0.153295  -0.715440
 59:  -4.861027 -132.684433 5281.190540   0.807053  -0.124801  -0.581618
 60:  -4.860803 -132.686643 5274.321905   0.916383  -0.089844  -0.418167
 61:  -4.860755 -132.688877 5270.457289  -0.857730  -0.017752  -0.082543
 62:  -4.860832 -132.691108 5272.189171   1.700601   0.043639   0.203054
 63:  -4.861113 -132.693335 5275.713159  -1.787614  -0.052828  -0.245846
 64:  -4.861880 -132.695372 5265.640687  -0.481634  -0.130004  -0.603964
 65:  -4.862795 -132.697428 5260.504292   0.283481  -0.070764  -0.328480
 66:  -4.863832 -132.699238 5256.152379  -0.879070   0.015919   0.073816
 67:  -4.864930 -132.701173 5263.124463  -0.161789   0.025879   0.120175
 68:  -4.866352 -132.702763 5258.786958  -0.394602  -0.076168  -0.353403
 69:  -4.867923 -132.704170 5253.694177  -1.563963  -0.057174  -0.264963
 70:  -4.869563 -132.705440 5251.761606   0.848993  -0.005485  -0.025421
 71:  -4.872938 -132.707693 5263.394294  -1.440025   0.012362   0.057397
 72:  -4.874882 -132.708272 5254.382872   1.340680  -0.095762  -0.444065
 73:  -4.876840 -132.708788 5251.899696  -0.281337  -0.009338  -0.043272
 74:  -4.878850 -132.709193 5253.326026   0.759636   0.086646   0.401683
 75:  -4.880935 -132.709563 5262.717876   1.288425   0.120131   0.557956
 76:  -4.882917 -132.709623 5267.098173  -0.438400   0.070685   0.328478
 77:  -4.886802 -132.709365 5284.043589   0.968518   0.060448   0.281886
 78:  -4.892188 -132.707333 5290.654868   0.276566   0.125473   0.585751
 79:  -4.894583 -132.705997 5300.807124   3.492673  -0.133313  -0.623932
 80:  -4.901633 -132.695930 5288.546058   1.925965  -0.201655  -0.941303
 81:  -4.901068 -132.694542 5242.241348  -4.142620  -0.727019  -3.360245
 82:  -4.900315 -132.693787 5199.280974  -2.270891  -0.703378  -3.225509
 83:  -4.899413 -132.693470 5156.875515  -2.966538  -0.775076  -3.524931
 84:  -4.897885 -132.693323 5093.147149   1.399600  -0.820785  -3.689636
 85:  -4.896627 -132.693178 5044.113121  -1.415785  -0.788745  -3.509856
