Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000023) 
Lon:   -131.91041 deg (0.000013) 
X:     -291.2 m (1.5) 
Y:    -170.4 m (2.6) 
Depth: -4742.8 m (5.4) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1506.4 m/s (1.610895)
Drift Lon: -291.239010 m (1.481386) 
Drift Lat: -170.441308 m (2.577506) 
Drift:    337.448714 m (1.974090) 
Drift Azi: 239.662906 deg (0.377429)
dz: 88.212522 m (5.406290)

RMS:  1.6223 ms (0.410367)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.859721  -1.440603  -0.282259  -1.194083
  2:  -6.291727 -131.904583 4786.454214   0.273536  -0.277143  -1.171554
  3:  -6.291528 -131.905462 4774.326267  -0.553350  -0.248665  -1.048416
  4:  -6.291453 -131.905705 4771.337060  -0.578456  -0.231622  -0.975958
  5:  -6.291395 -131.905908 4768.962907   0.462627  -0.215606  -0.908104
  6:  -6.291107 -131.907010 4758.043713   0.012500  -0.162077  -0.681070
  7:  -6.291060 -131.907202 4756.477282   0.084656  -0.149374  -0.627492
  8:  -6.290200 -131.908420 4750.507442  -0.895999   0.031914   0.133884
  9:  -6.288767 -131.908090 4760.220895  -0.813256   0.245289   1.031147
 10:  -6.287128 -131.907217 4781.831944  -0.514317   0.460013   1.942528
 11:  -6.285167 -131.906347 4817.249833  -0.571460   0.690858   2.938874
 12:  -6.283137 -131.905523 4864.878631  -0.800835   0.886506   3.808208
 13:  -6.281080 -131.904713 4924.488936   2.790526   1.084009   4.715763
 14:  -6.278448 -131.903692 5016.888839   3.967241   0.990204   4.389672
 15:  -6.273580 -131.905212 5177.425448  -3.321192   0.289815   1.323803
 16:  -6.273465 -131.907800 5158.395658   2.097633  -0.196283  -0.894497
 17:  -6.273525 -131.910430 5147.709165  -0.345378  -0.157631  -0.716420
 18:  -6.273922 -131.912477 5135.898639  -0.633788  -0.477588  -2.165531
 19:  -6.283453 -131.922892 5021.642471  -0.010941  -0.044056  -0.195360
 20:  -6.286257 -131.923725 5001.611598   0.524554  -0.221450  -0.978207
 21:  -6.288412 -131.924007 4988.280211  -1.527591  -0.207716  -0.914662
 22:  -6.290513 -131.923982 4976.308423  -0.714562  -0.171770  -0.754699
 23:  -6.293153 -131.923657 4966.953464  -1.265874  -0.067612  -0.296471
 24:  -6.295177 -131.923190 4964.656715  -0.295726  -0.035943  -0.157569
 25:  -6.297157 -131.922403 4962.797904   0.118887  -0.038286  -0.167786
 26:  -6.298990 -131.921278 4960.224631   0.518159  -0.025732  -0.112724
 27:  -6.301560 -131.919178 4964.171462  -0.644319   0.113850   0.499028
 28:  -6.303075 -131.917572 4972.530468  -0.731665   0.133565   0.586405
 29:  -6.305237 -131.914290 4994.526858   3.695780   0.197364   0.871017
 30:  -6.305837 -131.912313 5000.964226  -0.503543   0.083186   0.367321
 31:  -6.306145 -131.909607 5008.162445   2.713011   0.215036   0.951398
 32:  -6.306398 -131.907475 5026.941809   0.906620   0.308392   1.369181
 33:  -6.306340 -131.905357 5045.433065   3.165841   0.258556   1.152627
 34:  -6.305842 -131.903327 5057.843732  -0.053264   0.237665   1.061441
 35:  -6.305165 -131.901338 5073.993823  -0.481728   0.298487   1.337231
 36:  -6.304345 -131.899448 5093.690094  -0.630038   0.319600   1.437313
 37:  -6.303232 -131.897627 5113.126341  -2.321868   0.297248   1.341465
 38:  -6.301868 -131.896037 5129.170914  -2.577464   0.254147   1.150493
 39:  -6.300270 -131.894625 5143.965613  -1.322159   0.267275   1.213663
 40:  -6.298510 -131.893337 5161.815873  -0.133634   0.281505   1.283023
 41:  -6.296587 -131.892307 5177.760395  -1.218392   0.303086   1.385366
 42:  -6.294602 -131.891417 5198.136298  -0.328951   0.258793   1.187760
 43:  -6.292435 -131.890960 5209.134322  -0.902087   0.164635   0.757105
 44:  -6.290087 -131.890790 5218.920848   0.058040   0.054891   0.252945
 45:  -6.287958 -131.891167 5214.708096  -0.369258  -0.715655  -3.295012
 46:  -6.287698 -131.893177 5130.251255   3.497755  -1.301742  -5.900913
 47:  -6.288135 -131.894955 5056.486219   1.623373  -1.170829  -5.229111
