Bootstrap inversion results (2sigma uncertainty)
Station: WC03
Lat:   -5.70770 deg (0.000013) 
Lon:   -134.09131 deg (0.000015) 
X:     -28.8 m (1.7) 
Y:    15.3 m (1.4) 
Depth: -4483.5 m (6.8) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (2.009925)
Drift Lon: -28.777694 m (1.688898) 
Drift Lat: 15.254633 m (1.402799) 
Drift:    32.582156 m (1.366633) 
Drift Azi: 297.939500 deg (3.016800)
dz: 6.539604 m (6.823572)

RMS:  1.4260 ms (0.338767)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.705850 -134.093805 4496.638731   3.975329   0.000000   0.000000
  2:  -5.705850 -134.093805 4496.638731  -1.489456  -0.034804  -0.138106
  3:  -5.706273 -134.093505 4492.828670  -0.542894  -0.063603  -0.252189
  4:  -5.706772 -134.093118 4489.113138  -1.463037  -0.054408  -0.215540
  5:  -5.707555 -134.092832 4486.658079  -0.328459  -0.014823  -0.058698
  6:  -5.708542 -134.092862 4487.715293   1.088880   0.060820   0.240909
  7:  -5.709680 -134.093425 4494.903647  -2.103437   0.191919   0.761214
  8:  -5.710600 -134.094958 4513.031930  -0.391401   0.394492   1.571150
  9:  -5.711332 -134.096932 4544.263342   1.039624   0.623570   2.501172
 10:  -5.712070 -134.098982 4588.782964   0.968096   0.834817   3.381166
 11:  -5.713035 -134.100848 4643.877825  -1.024417   1.018577   4.173725
 12:  -5.714982 -134.104492 4783.466105   3.295803   1.290485   5.451188
 13:  -5.718332 -134.107925 4987.032967   1.192491   0.475423   2.092807
 14:  -5.729473 -134.089637 5092.368981  -0.292249   0.375407   1.686633
 15:  -5.729188 -134.087642 5090.402846  -1.493636  -0.307586  -1.380992
 16:  -5.726807 -134.084257 5017.495014   2.655001  -0.561936  -2.489435
 17:  -5.725347 -134.082980 4975.950715   0.140605  -0.678608  -2.979573
 18:  -5.723712 -134.081717 4936.092467  -1.764213  -0.604733  -2.633014
 19:  -5.719640 -134.078702 4877.985632   0.184591  -0.202504  -0.871689
 20:  -5.717892 -134.077468 4870.514730  -0.815102  -0.055788  -0.239738
 21:  -5.716077 -134.076282 4871.368271   0.904315   0.035564   0.152902
 22:  -5.714112 -134.075253 4875.160447  -0.967918   0.104847   0.450977
 23:  -5.712147 -134.074407 4883.521279  -0.160709   0.072225   0.311220
 24:  -5.710057 -134.073987 4883.789249  -1.385766  -0.092936  -0.400425
 25:  -5.707820 -134.074083 4872.658530   0.257415  -0.172708  -0.742628
 26:  -5.705458 -134.074435 4863.852558  -1.896228  -0.043656  -0.187311
 27:  -5.703177 -134.074822 4866.997057  -0.210626   0.079824   0.342804
 28:  -5.701015 -134.075420 4873.024135   0.732650  -0.026510  -0.114012
 29:  -5.699027 -134.076648 4864.097626   1.525436  -0.141626  -0.608035
 30:  -5.697183 -134.078140 4856.204731  -0.844797  -0.059950  -0.256859
 31:  -5.695565 -134.079620 4855.887711   2.365472  -0.018728  -0.080280
 32:  -5.694242 -134.081260 4853.495202   0.641815  -0.070184  -0.300619
 33:  -5.693163 -134.083165 4847.714563   0.334461  -0.029688  -0.127002
 34:  -5.692172 -134.085115 4849.935922   1.330925  -0.006077  -0.026013
 35:  -5.691568 -134.087197 4846.875799  -0.474873  -0.091494  -0.391283
 36:  -5.691353 -134.089368 4839.035946  -0.090457  -0.029578  -0.126299
 37:  -5.691137 -134.091547 4843.337332   1.124110   0.053191   0.227391
 38:  -5.691260 -134.093783 4845.876695  -0.168375   0.030558   0.130658
 39:  -5.691695 -134.095832 4846.207555   0.361915  -0.021171  -0.090541
 40:  -5.692447 -134.097748 4843.152976   0.401335   0.020590   0.088005
 41:  -5.693240 -134.099632 4848.600424  -1.657214   0.038948   0.166576
 42:  -5.694402 -134.101365 4848.235652  -1.204583  -0.057989  -0.248026
 43:  -5.695827 -134.102768 4841.189955   0.031513  -0.136896  -0.584828
 44:  -5.697648 -134.104037 4829.595452  -1.430988  -0.240906  -1.026334
 45:  -5.698920 -134.104278 4807.105432  -2.495108  -0.382449  -1.621506
 46:  -5.699865 -134.104133 4782.291396   0.199256  -0.513308  -2.166293
 47:  -5.701277 -134.102240 4698.110402  -0.053836  -0.546870  -2.267186
