Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.6) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.022919)
Drift Lon: 13.361365 m (1.141937) 
Drift Lat: 89.276590 m (1.553047) 
Drift:    90.272534 m (1.592382) 
Drift Azi: 8.511288 deg (0.689851)
dz: 10.486603 m (3.572178)

RMS:  1.5430 ms (0.329318)

Bad Pings Removed: 3
Doppler Correction: NO
Ray Bending Correction: YES
GPS-Transponder Offset: dforward = 0 m
                        dstarboard = 0 m
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.882117 -132.690453 4742.788170  -1.443540  -0.004551  -0.019045
  2:  -4.882108 -132.690443 4742.738337  -0.401826  -0.002586  -0.010822
  3:  -4.882112 -132.690440 4742.729795  -1.341530   0.000101   0.000424
  4:  -4.882107 -132.690455 4742.781552  -1.446259   0.005333   0.022318
  5:  -4.882098 -132.690608 4743.400064  -0.279215   0.004103   0.017173
  6:  -4.882077 -132.690578 4743.245076   0.873056  -0.009687  -0.040555
  7:  -4.882430 -132.690233 4742.534560  -0.145770  -0.005125  -0.021447
  8:  -4.883143 -132.689708 4743.321292   0.762422   0.030867   0.129223
  9:  -4.883957 -132.689035 4746.666061   1.322069   0.079402   0.332679
 10:  -4.884765 -132.688328 4752.896329   1.053789   0.118309   0.496304
 11:  -4.885473 -132.687812 4760.475140   0.994004   0.143619   0.603438
 12:  -4.886192 -132.687243 4770.358494  -0.082258   0.144455   0.608122
 13:  -4.886658 -132.687040 4777.070598   2.917783   0.079670   0.336017
 14:  -4.886882 -132.687107 4779.701873   0.507924   0.022706   0.095785
 15:  -4.886983 -132.687382 4779.881054   0.271152  -0.009017  -0.038038
 16:  -4.887012 -132.687818 4778.755192   1.725059  -0.021733  -0.091675
 17:  -4.887005 -132.688380 4777.433156  -0.439068  -0.023123  -0.097485
 18:  -4.886938 -132.689040 4776.109670   0.286679  -0.027763  -0.117019
 19:  -4.886738 -132.689662 4774.070836  -0.975800  -0.036778  -0.154928
 20:  -4.886440 -132.690207 4771.642613   1.176691  -0.034055  -0.143429
 21:  -4.886163 -132.690600 4769.784902   2.607047   0.009836   0.041420
 22:  -4.886902 -132.692660 4793.300902  -2.472301  -0.022215  -0.093936
 23:  -4.886670 -132.692207 4786.178691  -2.024902  -0.094803  -0.400311
 24:  -4.886803 -132.691440 4782.262636  -0.853780  -0.028107  -0.118608
 25:  -4.887202 -132.690577 4783.189986  -1.078494   0.046112   0.194617
 26:  -4.887700 -132.689695 4787.948067  -0.427004   0.096377   0.407198
 27:  -4.888168 -132.688803 4794.829897   0.422374   0.174553   0.738645
 28:  -4.888917 -132.687807 4809.699815  -0.298779   0.290734   1.233977
 29:  -4.889655 -132.686327 4831.202414  -0.835196   0.429866   1.832500
 30:  -4.890458 -132.684722 4862.292332  -1.106475   0.608431   2.610275
 31:  -4.891448 -132.683182 4904.861766  -0.602100   0.782659   3.387244
 32:  -4.892480 -132.681660 4956.162393   3.219527   0.916757   4.011317
 33:  -4.893532 -132.680142 5015.728502   0.204974   1.056764   4.677326
 34:  -4.894602 -132.678598 5084.041216   0.567129   1.184663   5.314971
 35:  -4.895635 -132.677092 5157.587571  -0.063541   1.144361   5.207775
 36:  -4.896033 -132.675392 5222.155536  -1.696167   0.998178   4.598069
 37:  -4.895925 -132.673613 5278.727863   0.127220   0.926304   4.314435
 38:  -4.895535 -132.671413 5349.760571   5.499704   0.681778   3.221185
 39:  -4.893775 -132.669017 5400.269593  -2.053168   0.077317   0.368252
 40:  -4.891527 -132.668328 5375.764698   0.288106  -0.196297  -0.931104
 41:  -4.889717 -132.667660 5370.681535   1.005103  -0.094478  -0.447778
 42:  -4.887785 -132.667143 5364.743570  -0.980643  -0.081158  -0.384085
 43:  -4.885843 -132.666763 5360.846828   2.970259  -0.025720  -0.121712
 44:  -4.883810 -132.666450 5361.961337  -1.281279   0.073204   0.346250
 45:  -4.881762 -132.666193 5369.756277  -2.567602   0.193499   0.916369
 46:  -4.879773 -132.665977 5384.868718  -0.717350   0.263591   1.252197
 47:  -4.877702 -132.665908 5401.914779  -0.389025   0.175150   0.834743
 48:  -4.875570 -132.666277 5406.707543  -1.658721   0.063643   0.303511
 49:  -4.873437 -132.666888 5409.831064   1.037578   0.054600   0.260656
 50:  -4.871392 -132.667683 5413.138097  -0.263538   0.042504   0.202988
 51:  -4.869408 -132.668707 5415.059728  -0.795388  -0.098529  -0.470695
 52:  -4.867630 -132.670190 5401.864345  -0.328311  -0.309327  -1.474199
