Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000023) 
Lon:   -131.91041 deg (0.000013) 
X:     -291.2 m (1.5) 
Y:    -170.4 m (2.5) 
Depth: -4742.8 m (5.3) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1506.4 m/s (1.599728)
Drift Lon: -291.246705 m (1.492605) 
Drift Lat: -170.438193 m (2.533049) 
Drift:    337.453749 m (1.946906) 
Drift Azi: 239.664002 deg (0.374040)
dz: 88.247336 m (5.328520)

RMS:  1.6215 ms (0.421717)

Bad Pings Removed: 2
Doppler Correction: NO
Ray Bending Correction: YES
GPS-Transponder Offset: dforward = 0 m
                        dstarboard = 0 m
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.826356  -1.446292  -0.282261  -1.194124
  2:  -6.291727 -131.904583 4786.420762   0.258529  -0.277164  -1.171633
  3:  -6.291528 -131.905462 4774.292559  -0.550396  -0.248665  -1.048419
  4:  -6.291453 -131.905705 4771.303282  -0.583752  -0.231636  -0.976001
  5:  -6.291395 -131.905908 4768.929072   0.474787  -0.215625  -0.908158
  6:  -6.291107 -131.907010 4758.009582   0.026838  -0.162070  -0.681036
  7:  -6.291060 -131.907202 4756.443103   0.097845  -0.149410  -0.627628
  8:  -6.290200 -131.908420 4750.472938  -0.900598   0.031934   0.133967
  9:  -6.288767 -131.908090 4760.186417  -0.826353   0.245271   1.030997
 10:  -6.287128 -131.907217 4781.797660  -0.551028   0.460078   1.942787
 11:  -6.285167 -131.906347 4817.215814  -0.566891   0.690869   2.938953
 12:  -6.283137 -131.905523 4864.844946  -0.780176   0.886468   3.808101
 13:  -6.281080 -131.904713 4924.455654   2.826950   1.083986   4.715664
 14:  -6.278448 -131.903692 5016.856163   3.940468   0.990292   4.390420
 15:  -6.273580 -131.905212 5177.393211  -3.304147   0.289807   1.323768
 16:  -6.273465 -131.907800 5158.362867   2.061208  -0.196307  -0.894656
 17:  -6.273525 -131.910430 5147.675875  -0.365946  -0.157640  -0.716501
 18:  -6.273922 -131.912477 5135.864960  -0.643335  -0.477600  -2.165583
 19:  -6.283453 -131.922892 5021.606914   0.019140  -0.044026  -0.195222
 20:  -6.286257 -131.923725 5001.575950   0.538771  -0.221580  -0.978793
 21:  -6.288412 -131.924007 4988.244568  -1.558743  -0.207735  -0.914781
 22:  -6.290513 -131.923982 4976.272845  -0.712753  -0.171782  -0.754748
 23:  -6.293153 -131.923657 4966.918057  -1.252582  -0.067576  -0.296326
 24:  -6.295177 -131.923190 4964.621512  -0.302649  -0.035981  -0.157735
 25:  -6.297157 -131.922403 4962.762961   0.143868  -0.038328  -0.167968
 26:  -6.298990 -131.921278 4960.189990   0.519397  -0.025717  -0.112658
 27:  -6.301560 -131.919178 4964.137387  -0.629443   0.113831   0.498946
 28:  -6.303075 -131.917572 4972.496830  -0.724298   0.133584   0.586505
 29:  -6.305237 -131.914290 4994.494076   3.694255   0.197345   0.870972
 30:  -6.305837 -131.912313 5000.931865  -0.531809   0.083198   0.367390
 31:  -6.306145 -131.909607 5008.130612   2.698736   0.215046   0.951454
 32:  -6.306398 -131.907475 5026.910473   0.888848   0.308437   1.369397
 33:  -6.306340 -131.905357 5045.402197   3.185448   0.258550   1.152558
 34:  -6.305842 -131.903327 5057.813248  -0.064885   0.237655   1.061408
 35:  -6.305165 -131.901338 5073.963724  -0.490707   0.298497   1.337292
 36:  -6.304345 -131.899448 5093.660372  -0.618569   0.319551   1.437079
 37:  -6.303232 -131.897627 5113.096960  -2.327440   0.297246   1.341479
 38:  -6.301868 -131.896037 5129.141797  -2.580538   0.254060   1.150064
 39:  -6.300270 -131.894625 5143.936706  -1.331741   0.267280   1.213701
 40:  -6.298510 -131.893337 5161.787161  -0.134163   0.281552   1.283285
 41:  -6.296587 -131.892307 5177.731813  -1.211117   0.303059   1.385245
 42:  -6.294602 -131.891417 5198.107843  -0.343779   0.258891   1.188217
 43:  -6.292435 -131.890960 5209.105858  -0.857133   0.164582   0.756850
 44:  -6.290087 -131.890790 5218.892310   0.047879   0.054853   0.252779
 45:  -6.287958 -131.891167 5214.679332  -0.362016  -0.715654  -3.295024
 46:  -6.287698 -131.893177 5130.221668   3.516845  -1.301731  -5.900769
 47:  -6.288135 -131.894955 5056.455930   1.622542  -1.170872  -5.229463
