Bootstrap inversion results (2sigma uncertainty)
Station: WC03
Lat:   -5.70770 deg (0.000013) 
Lon:   -134.09131 deg (0.000015) 
X:     -28.8 m (1.7) 
Y:    15.2 m (1.4) 
Depth: -4483.5 m (7.0) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (2.053309)
Drift Lon: -28.782935 m (1.708376) 
Drift Lat: 15.236488 m (1.407975) 
Drift:    32.578072 m (1.416584) 
Drift Azi: 297.906756 deg (2.986672)
dz: 6.545836 m (6.968734)

RMS:  1.4228 ms (0.348096)

Bad Pings Removed: 2
Doppler Correction: NO
Ray Bending Correction: YES
GPS-Transponder Offset: dforward = 0 m
                        dstarboard = 0 m
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.705850 -134.093805 4496.633023   3.935377   0.000000   0.000000
  2:  -5.705850 -134.093805 4496.633023  -1.464065  -0.034800  -0.138091
  3:  -5.706273 -134.093505 4492.822806  -0.517693  -0.063607  -0.252213
  4:  -5.706772 -134.093118 4489.107097  -1.503070  -0.054403  -0.215518
  5:  -5.707555 -134.092832 4486.651722  -0.364163  -0.014832  -0.058730
  6:  -5.708542 -134.092862 4487.708492   1.067865   0.060838   0.240984
  7:  -5.709680 -134.093425 4494.896276  -2.094715   0.191887   0.761078
  8:  -5.710600 -134.094958 4513.023982  -0.369207   0.394470   1.571078
  9:  -5.711332 -134.096932 4544.254873   1.059724   0.623501   2.500810
 10:  -5.712070 -134.098982 4588.773995   0.958934   0.834791   3.381018
 11:  -5.713035 -134.100848 4643.868312  -0.971081   1.018543   4.173682
 12:  -5.714982 -134.104492 4783.455611   3.289769   1.290449   5.450953
 13:  -5.718332 -134.107925 4987.021154   1.163729   0.475421   2.092795
 14:  -5.729473 -134.089637 5092.355107  -0.337327   0.375410   1.686760
 15:  -5.729188 -134.087642 5090.389306  -1.448261  -0.307568  -1.380861
 16:  -5.726807 -134.084257 5017.482622   2.641055  -0.561919  -2.489443
 17:  -5.725347 -134.082980 4975.938957   0.137091  -0.678638  -2.979841
 18:  -5.723712 -134.081717 4936.081427  -1.757262  -0.604731  -2.633140
 19:  -5.719640 -134.078702 4877.976494   0.197026  -0.202438  -0.871409
 20:  -5.717892 -134.077468 4870.506446  -0.813874  -0.055778  -0.239688
 21:  -5.716077 -134.076282 4871.360878   0.929002   0.035574   0.152939
 22:  -5.714112 -134.075253 4875.153990  -0.985754   0.104925   0.451289
 23:  -5.712147 -134.074407 4883.515741  -0.127019   0.072249   0.311321
 24:  -5.710057 -134.073987 4883.784620  -1.405962  -0.092901  -0.400264
 25:  -5.707820 -134.074083 4872.654800   0.236639  -0.172709  -0.742611
 26:  -5.705458 -134.074435 4863.849754  -1.914271  -0.043653  -0.187298
 27:  -5.703177 -134.074822 4866.995149  -0.199559   0.079847   0.342901
 28:  -5.701015 -134.075420 4873.023048   0.720605  -0.026495  -0.113945
 29:  -5.699027 -134.076648 4864.097211   1.546437  -0.141606  -0.607982
 30:  -5.697183 -134.078140 4856.204899  -0.844529  -0.059906  -0.256680
 31:  -5.695565 -134.079620 4855.888371   2.353114  -0.018732  -0.080298
 32:  -5.694242 -134.081260 4853.496213   0.652498  -0.070162  -0.300547
 33:  -5.693163 -134.083165 4847.715793   0.354929  -0.029680  -0.126968
 34:  -5.692172 -134.085115 4849.937329   1.329475  -0.006073  -0.025995
 35:  -5.691568 -134.087197 4846.877207  -0.475798  -0.091508  -0.391339
 36:  -5.691353 -134.089368 4839.037185  -0.079780  -0.029629  -0.126517
 37:  -5.691137 -134.091547 4843.338399   1.118161   0.053213   0.227478
 38:  -5.691260 -134.093783 4845.877442  -0.183810   0.030587   0.130794
 39:  -5.691695 -134.095832 4846.207876   0.341899  -0.021099  -0.090231
 40:  -5.692447 -134.097748 4843.152756   0.394752   0.020584   0.087980
 41:  -5.693240 -134.099632 4848.599651  -1.655087   0.038985   0.166735
 42:  -5.694402 -134.101365 4848.234190  -1.190229  -0.058006  -0.248096
 43:  -5.695827 -134.102768 4841.187732   0.044098  -0.136940  -0.585003
 44:  -5.697648 -134.104037 4829.592314  -1.434644  -0.240923  -1.026430
 45:  -5.698920 -134.104278 4807.101719  -2.495513  -0.382458  -1.621548
 46:  -5.699865 -134.104133 4782.287285   0.216391  -0.513315  -2.166347
 47:  -5.701277 -134.102240 4698.105849  -0.054579  -0.546909  -2.267483
