LineNum,ID,Unit,OBS,DeployDate,DeployDay,DeployTime,DeployLatitude,DeployLongitude,DeployX,DeployY,scaleco,Closest_Shot,elevation,RecoveryDate,RecoveryDay,RecoveryTime,RecoveryLatitude,RecoveryLongitude,Drift,SEGY,Comments,RelocLatitude,RelocLongitude,RelocX,RelocY,RMS,RelocZ,RelocWaterVelocity,RelocDrift
1A,1.0,D90,1AS01,5/16/22,136.0,4:52:45,14.355955,-104.41565,-3421387,470401,-32767,1769,3041.0,5/18/22,138.0,23:11:01,14.352645,-104.415065,,yes,,14.3562,-104.414266,563156.199,1587200.861,12.3,2949.0,1502.2,151.78
1A,2.0,038,1AS02,5/16/22,136.0,5:51:18,14.375903,-104.305258,-3417770,471055,-32767,1739,2850.0,5/19/22,139.0,1:08:46,14.370535,-104.307113,-0.008696,yes,,14.375894,-104.30536,574892.7513,1589411.672,18.5,2819.0,1506.1,11.33
1A,3.0,D09,1AS03,5/16/22,136.0,6:47:07,14.396932,-104.197348,-3414234,471744,-32767,1709,3015.0,5/19/22,139.0,2:52:01,14.392217,-104.195757,,yes,,14.397134,-104.19628,586645.7444,1591799.191,22.4,3015.0,1510.1,117.06
1A,4.0,071,1AS04,5/16/22,136.0,7:40:56,14.417408,-104.087857,-3410646,472415,-32767,1679,3044.0,5/19/22,139.0,5:02:20,14.412065,-104.083037,0.0056836,yes,,14.417564,-104.087097,598408.1141,1594102.876,15.3,3085.0,1501.4,84.04
1A,5.0,D04,1AS05,5/16/22,136.0,8:33:29,14.43844,-103.978803,-3407073,473104,-32767,1649,3146.0,5/19/22,139.0,6:44:49,14.433705,-103.970835,,yes,,14.438473,-103.978597,610094.8487,1596464.862,16.1,3023.0,1498.3,22.19
1A,6.0,017,1AS06,5/16/22,136.0,9:24:08,14.459015,-103.869273,-3403484,473778,-32767,1619,2962.0,5/19/22,139.0,8:45:42,14.455068,-103.860025,-0.010217,yes,,14.458997,-103.869345,621861.0199,1598790.3,13.3,2921.0,1505.0,8.16
1A,7.0,D10,1AS07,5/16/22,136.0,10:17:04,14.47981,-103.760107,-3399907,474459,-32767,1589,3061.0,5/19/22,139.0,10:22:46,14.477985,-103.754742,,yes,,14.479734,-103.760478,633583.7385,1601144.919,11.1,3047.0,1499.6,41.27
1A,8.0,216,1AS08,5/16/22,136.0,11:12:48,14.500122,-103.650587,-3396318,475125,-32767,1559,2983.0,5/19/22,139.0,12:19:01,14.498247,-103.646222,-0.0009837,yes,,14.500032,-103.651087,645361.5109,1603457.004,14.7,3015.0,1500.8,54.42
1A,9.0,D29,1AS09,5/16/22,136.0,12:05:48,14.520708,-103.541167,-3392733,475800,-32767,1529,3185.0,5/19/22,139.0,14:04:01,14.52047,-103.540522,,yes,,14.520627,-103.541625,657145.0164,1605807.822,15.1,3166.0,1504.4,49.84
1A,10.0,213,1AS10,5/16/22,136.0,12:54:50,14.541618,-103.431475,-3389139,476485,-32767,1499,3374.0,5/19/22,139.0,16:06:33,14.541943,-103.431507,0.0050772,yes,,14.541448,-103.43228,668913.9951,1608189.432,18.3,3261.0,1504.4,89.18
1A,11.0,D49,1AS11,5/16/22,136.0,13:40:42,14.561943,-103.322033,-3385553,477151,-32767,1469,3310.0,5/19/22,139.0,17:52:18,14.564073,-103.321688,,yes,,14.561933,-103.322093,680772.2237,1610540.397,8.9,3312.0,1505.5,6.96
1A,12.0,067,1AS12,5/16/22,136.0,14:27:54,14.582153,-103.212555,-3381965,477813,-32767,1438,3341.0,5/19/22,139.0,20:08:26,14.585555,-103.209447,0.003537,yes,,14.582192,-103.212328,692583.6016,1612872.018,13.8,3361.0,1502.9,25.11
1A,13.0,D35,1AS13,5/16/22,136.0,15:16:21,14.602518,-103.102803,-3378369,478480,-32767,1409,3315.0,5/19/22,139.0,21:56:53,14.605583,-103.098917,,yes,,14.60271,-103.101751,704480.7446,1615238.97,16.1,3354.0,1508.2,114.87
1A,14.0,233,1AS14,5/16/22,136.0,16:05:50,14.622033,-102.992847,-3374766,479120,-32767,1379,3463.0,5/19/22,139.0,23:58:01,14.624747,-102.991525,9.58e-05,yes,,14.622178,-102.992166,716270.3526,1617494.739,13.9,3523.0,1504.8,75.24
1A,15.0,D06,1AS15,5/16/22,136.0,16:54:19,14.642425,-102.884103,-3371203,479788,-32767,1349,3448.0,5/20/22,140.0,2:01:01,14.649552,-102.880042,,yes,,14.642662,-102.882826,728031.1797,1619868.807,14.6,3549.0,1504.7,139.97
1A,16.0,211,1AS16,5/16/22,136.0,17:47:12,14.662457,-102.77451,-3367612,480444,-32767,1319,3472.0,5/20/22,140.0,4:50:03,14.665895,-102.768028,-0.0025706,yes,,14.662642,-102.773509,739788.5744,1622193.022,20.4,3421.0,1505.4,109.81
1A,17.0,D26,1AS17,5/16/22,136.0,18:38:28,14.682272,-102.664777,-3364016,481094,-32767,1289,3642.0,5/20/22,140.0,6:27:23,14.68261,-102.660898,,yes,,14.68246,-102.663792,751587.7372,1624505.762,13.8,3612.0,1505.0,107.95
1A,18.0,219,1AS18,5/16/22,136.0,19:30:19,14.70236,-102.554725,-3360410,481752,-32767,1259,3613.0,5/20/22,140.0,8:39:10,14.701807,-102.548515,-0.0042609,yes,,14.702417,-102.554419,763348.4386,1626839.48,13.2,3603.0,1507.5,33.08
1A,19.0,D56,1AS19,5/16/22,136.0,20:23:14,14.72196,-102.44511,-3356818,482394,-32767,1229,3703.0,5/20/22,140.0,10:18:01,14.722007,-102.440023,,yes,,14.721907,-102.445414,775068.656,1629127.102,18.5,3675.0,1507.7,32.88
1A,20.0,124,1AS20,5/16/22,136.0,21:14:18,14.74188,-102.3357,-3353233,483047,-32767,1199,3659.0,5/20/22,140.0,12:32:01,14.741637,-102.331935,0.0112745,,card cannot be read,,,,,,,,
1A,21.0,D14,1AS21,5/16/22,136.0,22:08:49,14.76229,-102.226197,-3349645,483715,-32767,1169,3445.0,5/20/22,140.0,14:19:01,14.761898,-102.224068,,yes,,14.761976,-102.227877,798453.101,1633840.503,7.3,3495.0,1502.8,184.54
1A,22.0,304,1AS22,5/16/22,136.0,23:04:00,14.781773,-102.116483,-3346050,484354,-32767,1139,3473.0,5/20/22,140.0,16:35:03,14.784638,-102.119287,-0.017634,yes,,14.781336,-102.118931,810163.4025,1636131.741,5.4,3621.0,1502.9,268.73
1A,23.0,222,1AS23,5/16/22,136.0,23:59:06,14.801542,-102.006648,-3342451,485002,-32767,1109,3431.0,5/20/22,140.0,18:43:43,14.804697,-102.010128,3.72e-05,yes,,14.801077,-102.009264,821949.8056,1638472.338,5.5,3458.0,1502.5,286.65
1A,24.0,D18,1AS24,5/17/22,137.0,0:55:19,14.821068,-101.896972,-3338858,485641,-32767,1079,3299.0,5/20/22,140.0,20:46:15,14.823092,-101.898743,,yes,,14.820711,-101.899008,833798.5539,1640808.266,6.3,3396.0,1503.6,222.59
1A,25.0,235,1AS25,5/17/22,137.0,1:59:50,14.84134,-101.786555,-3335240,486306,-32767,1048,3542.0,5/20/22,140.0,22:53:26,14.841498,-101.787992,0.0008731,yes,,14.841088,-101.787922,845734.4935,1643233.859,11.4,3568.0,1505.4,149.57
1A,26.0,065,1AS26,5/17/22,137.0,2:58:39,14.860732,-101.677377,-3331662,486941,-32767,1019,3601.0,5/21/22,141.0,1:01:30,14.862385,-101.680342,-0.0023761,yes,,14.860741,-101.677319,857618.48,1645585.024,6.6,3599.0,1506.4,6.56
