Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC03 
       Lat:    -4.88160 ° ± 0.00001
       Lon:  -132.68895 ° ± 0.00001
         X:    13.36722 m ± 1.07463
         Y:    89.27011 m ± 1.50812
     Depth: -4739.12772 m ± 3.54529
Water Vel.:  1506.86306 m ± 1.01580
     Drift:    90.26682 m ± 1.54051
  Drift Az:     8.51572 m ± 0.65260
        dz:    10.87228 m ± 3.54529

       RMS:     1.54414 ms ± 0.32967

Bad Pings Removed: 3 
Doppler Correction: NO 
Ray Bending Correction: YES 
GPS-Transponder Offset:   dforward =  0  m 
                        dstarboard =  0  m 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.88212  -132.69045  4742.73587  -1.43315  -0.00455  -0.01904
  2    -4.88211  -132.69044  4742.05037  -0.40732  -0.00259  -0.01082
  3    -4.88211  -132.69044  4743.69911  -1.36474   0.00010   0.00042
  4    -4.88211  -132.69045  4744.67756  -1.41560   0.00533   0.02233
  5    -4.88210  -132.69061  4742.58649  -0.29247   0.00410   0.01717
  6    -4.88208  -132.69058  4745.27593   0.86596  -0.00969  -0.04056
  7    -4.88243  -132.69023  4742.09865  -0.15451  -0.00513  -0.02146
  8    -4.88314  -132.68971  4744.46607   0.78116   0.03087   0.12926
  9    -4.88396  -132.68903  4746.06607   1.32870   0.07941   0.33271
 10    -4.88476  -132.68833  4754.73825   1.07159   0.11834   0.49650
 11    -4.88547  -132.68781  4760.63467   1.00648   0.14363   0.60354
 12    -4.88619  -132.68724  4769.23027  -0.08487   0.14447   0.60821
 13    -4.88666  -132.68704  4777.08664   2.92084   0.07967   0.33602
 14    -4.88688  -132.68711  4777.05130   0.50507   0.02271   0.09579
 15    -4.88698  -132.68738  4779.27914   0.26971  -0.00902  -0.03805
 16    -4.88701  -132.68782  4779.66545   1.71827  -0.02173  -0.09167
 17    -4.88701  -132.68838  4777.10963  -0.45384  -0.02312  -0.09749
 18    -4.88694  -132.68904  4775.43064   0.29708  -0.02776  -0.11704
 19    -4.88674  -132.68966  4772.88895  -0.98716  -0.03679  -0.15497
 20    -4.88644  -132.69021  4769.51944   1.19850  -0.03406  -0.14345
 21    -4.88616  -132.69060  4768.93467   2.59329   0.00984   0.04143
 22    -4.88690  -132.69266  4790.94836  -2.46762  -0.02222  -0.09395
 23    -4.88667  -132.69221  4783.29265  -2.02429  -0.09481  -0.40036
 24    -4.88680  -132.69144  4778.85363  -0.87247  -0.02811  -0.11862
 25    -4.88720  -132.69058  4781.93100  -1.08896   0.04611   0.19462
 26    -4.88770  -132.68970  4787.10034  -0.41259   0.09639   0.40728
 27    -4.88817  -132.68880  4793.19380   0.41365   0.17457   0.73876
 28    -4.88892  -132.68781  4808.54100  -0.29942   0.29072   1.23396
 29    -4.88966  -132.68633  4826.46786  -0.81591   0.42988   1.83268
 30    -4.89046  -132.68472  4859.74331  -1.07988   0.60845   2.61056
 31    -4.89145  -132.68318  4901.88842  -0.59282   0.78270   3.38769
 32    -4.89248  -132.68166  4955.91313   3.20707   0.91683   4.01197
 33    -4.89353  -132.68014  5017.08818   0.21091   1.05682   4.67791
 34    -4.89460  -132.67860  5083.70607   0.54084   1.18477   5.31583
 35    -4.89564  -132.67709  5154.61236  -0.08645   1.14448   5.20880
 36    -4.89603  -132.67539  5221.37107  -1.69188   0.99824   4.59859
 37    -4.89593  -132.67361  5277.34524   0.10849   0.92638   4.31511
 38    -4.89553  -132.67141  5348.42781   5.50313   0.68181   3.22160
 39    -4.89377  -132.66902  5398.83233  -2.07033   0.07731   0.36825
 40    -4.89153  -132.66833  5374.10955   0.29806  -0.19632  -0.93131
 41    -4.88972  -132.66766  5373.54425   1.00454  -0.09449  -0.44788
 42    -4.88779  -132.66714  5365.61401  -1.00299  -0.08116  -0.38410
 43    -4.88584  -132.66676  5360.67773   2.95771  -0.02576  -0.12190
 44    -4.88381  -132.66645  5360.23703  -1.26891   0.07322   0.34635
 45    -4.88176  -132.66619  5368.54715  -2.56876   0.19350   0.91644
 46    -4.87977  -132.66598  5382.31783  -0.71845   0.26357   1.25221
 47    -4.87770  -132.66591  5400.75874  -0.36410   0.17519   0.83497
 48    -4.87557  -132.66628  5408.81574  -1.65040   0.06366   0.30364
 49    -4.87344  -132.66689  5408.78255   1.05200   0.05464   0.26085
 50    -4.87139  -132.66768  5413.89319  -0.26231   0.04250   0.20297
 51    -4.86941  -132.66871  5414.22852  -0.80646  -0.09849  -0.47053
 52    -4.86763  -132.67019  5401.78890  -0.30440  -0.30933  -1.47434
 53    -4.86609  -132.67203  5378.82493   0.85717  -0.40967  -1.94440
 54    -4.86479  -132.67405  5350.07617  -0.12545  -0.38902  -1.83735
 55    -4.86371  -132.67606  5330.45470   0.69878  -0.31669  -1.48984
 56    -4.86282  -132.67805  5313.84717   1.41757  -0.26355  -1.23605
 57    -4.86208  -132.68012  5298.72553  -0.20875  -0.20166  -0.94297
 58    -4.86146  -132.68223  5287.96037  -0.37445  -0.15331  -0.71553
 59    -4.86103  -132.68443  5281.11371   0.79470  -0.12481  -0.58171
 60    -4.86080  -132.68664  5275.28081   0.91979  -0.08987  -0.41831
 61    -4.86076  -132.68888  5270.26805  -0.86931  -0.01776  -0.08258
 62    -4.86083  -132.69111  5269.05740   1.69547   0.04363   0.20305
 63    -4.86111  -132.69333  5279.58409  -1.77907  -0.05280  -0.24573
 64    -4.86188  -132.69537  5263.27617  -0.48656  -0.13002  -0.60407
 65    -4.86280  -132.69743  5262.65180   0.28201  -0.07082  -0.32878
 66    -4.86383  -132.69924  5256.96237  -0.87363   0.01593   0.07385
 67    -4.86493  -132.70117  5261.26578  -0.16989   0.02589   0.12025
 68    -4.86635  -132.70276  5255.22737  -0.42212  -0.07619  -0.35351
 69    -4.86792  -132.70417  5253.60850  -1.57006  -0.05716  -0.26490
 70    -4.86956  -132.70544  5254.49694   0.86841  -0.00550  -0.02549
 71    -4.87294  -132.70769  5264.21825  -1.43089   0.01230   0.05713
 72    -4.87488  -132.70827  5253.01666   1.35666  -0.09577  -0.44412
 73    -4.87684  -132.70879  5250.65443  -0.25053  -0.00935  -0.04331
 74    -4.87885  -132.70919  5253.39940   0.76655   0.08667   0.40185
 75    -4.88094  -132.70956  5260.77506   1.27213   0.12015   0.55807
 76    -4.88292  -132.70962  5265.54366  -0.41490   0.07068   0.32846
 77    -4.88680  -132.70936  5284.45313   0.96569   0.06045   0.28193
 78    -4.89219  -132.70733  5289.87014   0.25055   0.12548   0.58583
 79    -4.89458  -132.70600  5302.14007   3.46675  -0.13331  -0.62399
 80    -4.90163  -132.69593  5289.76955   1.96188  -0.20166  -0.94140
 81    -4.90107  -132.69454  5241.95206  -4.13782  -0.72708  -3.36077
 82    -4.90031  -132.69379  5198.13180  -2.26023  -0.70342  -3.22591
 83    -4.89941  -132.69347  5156.91664  -2.97037  -0.77514  -3.52549
 84    -4.89789  -132.69332  5090.39961   1.36313  -0.82087  -3.69031
 85    -4.89663  -132.69318  5043.40799  -1.40640  -0.78878  -3.51022
