FFID, OFFSET, CHANNEL, TIME
1110, -525, 119, 2295
1111, -924, 120, 2330
1112, -1324, 121, 2395
1113, -1724, 122, 2485
1114, -2124, 123, 2605
1115, -2524, 124, 2735
1116, -2924, 125, 2900
1117, -3324, 126, 3065
1118, -3724, 127, 3235
1119, -4124, 128, 3435
1120, -4524, 129, 3640
1121, -4924, 130, 3850
1122, -5324, 131, 4070
1123, -5724, 132, 4285
1124, -6124, 133, 4520
1126, -6924, 135, 4985
1125, -6524, 134, 4745
1127, -7324, 136, 5215
1128, -7724, 137, 5450
1129, -8124, 138, 5705
1130, -8525, 139, 5955
1131, -8925, 140, 6195
1132, -9325, 141, 6445
1133, -9725, 142, 6700
1134, -10125, 143, 6950
1135, -10524, 144, 7195
1136, -10925, 145, 7460
1137, -11324, 146, 7710
1138, -11724, 147, 7965
1139, -12125, 148, 8220
1140, -12524, 149, 8480
1109, -125, 118, 2300
1108, 276, 117, 2330
1107, 676, 116, 2385
1106, 1076, 115, 2470
1105, 1476, 114, 2580
1104, 1876, 113, 2710
1103, 2276, 112, 2860
1102, 2676, 111, 3030
1101, 3076, 110, 3210
1100, 3476, 109, 3400
1099, 3876, 108, 3600
1098, 4276, 107, 3810
1097, 4676, 106, 4030
1096, 5076, 105, 4245
1095, 5476, 104, 4470
1094, 5876, 103, 4700
1093, 6276, 102, 4935
1092, 6676, 101, 5165
1091, 7076, 100, 5415
1090, 7476, 99, 5660
1089, 7875, 98, 5910
1088, 8276, 97, 6155
1087, 8676, 96, 6395
1086, 9076, 95, 6650
1085, 9476, 94, 6900
1084, 9876, 93, 7155
1083, 10276, 92, 7410
1082, 10676, 91, 7660
1081, 11076, 90, 7910
1080, 11476, 89, 8170
1079, 11876, 88, 8425
1078, 12275, 87, 8685
1077, 12675, 86, 8940
