shotnumber,date,time,sourceLat,sourceLon,shipLat,shipLon,waterDepth,sciTag
0000992,2022-05-17,07:30:06.650012,14.877923,-101.580166,14.877485,-101.582196,3471.5,MGL22040011a
0000993,2022-05-17,07:32:44.583013,14.877251,-101.583821,14.876815,-101.585849,3472.7,MGL22040011a
0000994,2022-05-17,07:35:22.200010,14.876561,-101.587465,14.876183,-101.589509,3603.5,MGL22040011a
0000995,2022-05-17,07:37:55.889011,14.875936,-101.591122,14.875541,-101.593165,3591.1,MGL22040011a
0000996,2022-05-17,07:40:30.448010,14.875324,-101.594786,14.874886,-101.596822,3564.8,MGL22040011a
0000997,2022-05-17,07:43:06.235014,14.874653,-101.598438,14.874230,-101.600478,3554.8,MGL22040011a
0000998,2022-05-17,07:45:41.469015,14.873990,-101.602087,14.873575,-101.604133,3515.8,MGL22040011a
0000999,2022-05-17,07:48:16.724013,14.873298,-101.605734,14.872920,-101.607789,3516.9,MGL22040011a
0001000,2022-05-17,07:50:51.005012,14.872625,-101.609385,14.872263,-101.611444,3634.5,MGL22040011a
0001001,2022-05-17,07:53:24.252016,14.871974,-101.613041,14.871632,-101.615104,3629.6,MGL22040011a
0001002,2022-05-17,07:55:55.817013,14.871355,-101.616702,14.870987,-101.618761,3630.6,MGL22040011a
0001003,2022-05-17,07:58:29.390011,14.870686,-101.620356,14.870325,-101.622415,3612.1,MGL22040011a
0001004,2022-05-17,08:01:03.956015,14.870016,-101.624010,14.869657,-101.626068,3579.7,MGL22040011a
0001005,2022-05-17,08:03:40.204011,14.869355,-101.627662,14.869036,-101.629731,3552.2,MGL22040011a
0001006,2022-05-17,08:06:16.962017,14.868748,-101.631323,14.868380,-101.633385,3508.1,MGL22040011a
0001007,2022-05-17,08:08:58.125012,14.868104,-101.634981,14.867735,-101.637042,3539.7,MGL22040011a
0001008,2022-05-17,08:11:37.554011,14.867454,-101.638637,14.867066,-101.640695,3567.6,MGL22040011a
0001009,2022-05-17,08:14:15.585016,14.866798,-101.642288,14.866411,-101.644351,3563.5,MGL22040011a
0001010,2022-05-17,08:16:52.131022,14.866158,-101.645946,14.865780,-101.648010,3561.1,MGL22040011a
0001011,2022-05-17,08:19:27.831011,14.865494,-101.649600,14.865128,-101.651666,3619.3,MGL22040011a
0001012,2022-05-17,08:22:02.032014,14.864870,-101.653258,14.864492,-101.655325,3602.5,MGL22040011a
0001013,2022-05-17,08:24:35.909010,14.864231,-101.656919,14.863820,-101.658978,3552.3,MGL22040011a
0001014,2022-05-17,08:27:10.860011,14.863584,-101.660577,14.863176,-101.662635,3642.6,MGL22040011a
0001015,2022-05-17,08:29:47.433013,14.862900,-101.664228,14.862511,-101.666288,3642.6,MGL22040011a
0001016,2022-05-17,08:32:27.347000,14.862194,-101.667878,14.861850,-101.669943,3635.9,MGL22040011a
0001017,2022-05-17,08:35:06.878010,14.861550,-101.671534,14.861228,-101.673604,3586.7,MGL22040011a
0001018,2022-05-17,08:37:44.720010,14.860887,-101.675188,14.860579,-101.677259,3594.0,MGL22040011a
0001019,2022-05-17,08:40:19.526011,14.860265,-101.678847,14.859920,-101.680915,3588.3,MGL22040011a
0001020,2022-05-17,08:42:54.282016,14.859604,-101.682502,14.859264,-101.684570,3592.0,MGL22040011a
0001021,2022-05-17,08:45:28.876009,14.858943,-101.686158,14.858609,-101.688226,3596.1,MGL22040011a
0001022,2022-05-17,08:48:08.938011,14.858296,-101.689816,14.857959,-101.691881,3642.9,MGL22040011a
0001023,2022-05-17,08:50:49.423011,14.857629,-101.693470,14.857319,-101.695539,3654.2,MGL22040011a
0001024,2022-05-17,08:53:27.692038,14.856990,-101.697125,14.856660,-101.699193,3604.3,MGL22040011a
0001025,2022-05-17,08:56:03.588012,14.856299,-101.700774,14.855993,-101.702847,3554.7,MGL22040011a
0001026,2022-05-17,08:58:38.699014,14.855680,-101.704437,14.855378,-101.706509,3581.6,MGL22040011a
0001027,2022-05-17,09:01:13.671011,14.855021,-101.708090,14.854688,-101.710158,3586.6,MGL22040011a
0001028,2022-05-17,09:03:51.780016,14.854320,-101.711739,14.854034,-101.713813,3583.2,MGL22040011a
0001029,2022-05-17,09:06:30.827013,14.853691,-101.715399,14.853418,-101.717474,3541.6,MGL22040011a
0001030,2022-05-17,09:09:05.957016,14.853053,-101.719054,14.852743,-101.721128,3505.3,MGL22040011a
0001031,2022-05-17,09:11:40.016000,14.852340,-101.722702,14.852079,-101.724781,3513.4,MGL22040011a
0001032,2022-05-17,09:14:15.666011,14.851700,-101.726359,14.851450,-101.728440,3534.2,MGL22040011a
0001033,2022-05-17,09:16:51.809010,14.851051,-101.730014,14.850793,-101.732094,3544.0,MGL22040011a
0001034,2022-05-17,09:19:26.601014,14.850401,-101.733671,14.850132,-101.735748,3559.3,MGL22040011a
0001035,2022-05-17,09:22:01.787010,14.849729,-101.737325,14.849497,-101.739408,3601.8,MGL22040011a
0001036,2022-05-17,09:24:37.441011,14.849081,-101.740983,14.848826,-101.743060,3613.2,MGL22040011a
0001037,2022-05-17,09:27:15.768014,14.848419,-101.744636,14.848190,-101.746718,3569.8,MGL22040011a
0001038,2022-05-17,09:29:53.746012,14.847824,-101.748300,14.847550,-101.750377,3578.3,MGL22040011a
0001039,2022-05-17,09:32:30.835010,14.847145,-101.751950,14.846867,-101.754026,3606.9,MGL22040011a
0001040,2022-05-17,09:35:06.119009,14.846464,-101.755603,14.846229,-101.757684,3617.6,MGL22040011a
0001041,2022-05-17,09:37:41.559015,14.845844,-101.759263,14.845592,-101.761343,3593.1,MGL22040011a
0001042,2022-05-17,09:40:16.349010,14.845204,-101.762919,14.844913,-101.764993,3580.8,MGL22040011a
0001043,2022-05-17,09:42:53.753015,14.844562,-101.766575,14.844289,-101.768654,3580.9,MGL22040011a
0001044,2022-05-17,09:45:33.885013,14.843922,-101.770234,14.843642,-101.772310,3579.1,MGL22040011a
0001045,2022-05-17,09:48:14.421008,14.843261,-101.773887,14.842967,-101.775963,3566.3,MGL22040011a
0001046,2022-05-17,09:50:51.342013,14.842608,-101.777543,14.842320,-101.779619,3578.1,MGL22040011a
0001047,2022-05-17,09:53:27.596014,14.841972,-101.781201,14.841674,-101.783276,3580.1,MGL22040011a
0001048,2022-05-17,09:56:03.463012,14.841320,-101.784855,14.841014,-101.786929,3570.2,MGL22040011a
0001049,2022-05-17,09:58:39.365012,14.840665,-101.788512,14.840372,-101.790587,3551.8,MGL22040011a
0001050,2022-05-17,10:01:15.915012,14.840050,-101.792173,14.839721,-101.794242,3481.1,MGL22040011a
0001051,2022-05-17,10:03:53.808015,14.839364,-101.795823,14.839059,-101.797896,3488.4,MGL22040011a
0001052,2022-05-17,10:06:33.884014,14.838731,-101.799482,14.838431,-101.801555,3463.2,MGL22040011a
0001053,2022-05-17,10:09:13.928011,14.838065,-101.803135,14.837765,-101.805209,3453.8,MGL22040011a
0001054,2022-05-17,10:11:52.309011,14.837411,-101.806792,14.837121,-101.808866,3440.6,MGL22040011a
0001055,2022-05-17,10:14:28.475011,14.836799,-101.810453,14.836460,-101.812520,3443.1,MGL22040011a
0001056,2022-05-17,10:17:03.186999,14.836089,-101.814097,14.835783,-101.816171,3437.6,MGL22040011a
0001057,2022-05-17,10:19:36.413011,14.835444,-101.817754,14.835148,-101.819829,3416.5,MGL22040011a
0001058,2022-05-17,10:22:12.133012,14.834805,-101.821413,14.834499,-101.823485,3414.8,MGL22040011a
0001059,2022-05-17,10:24:47.658010,14.834159,-101.825069,14.833864,-101.827143,3395.1,MGL22040011a
