Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.6) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.017807)
Drift Lon: 13.373987 m (1.077226) 
Drift Lat: 89.273995 m (1.587127) 
Drift:    90.271693 m (1.613432) 
Drift Azi: 8.519712 deg (0.658808)
dz: 10.488413 m (3.558587)

RMS:  1.5430 ms (0.327625)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.882117 -132.690453 4742.786775  -1.425497  -0.004551  -0.019044
  2:  -4.882108 -132.690443 4742.736939  -0.399287  -0.002585  -0.010821
  3:  -4.882112 -132.690440 4742.728396  -1.358670   0.000101   0.000424
  4:  -4.882107 -132.690455 4742.780157  -1.435591   0.005335   0.022324
  5:  -4.882098 -132.690608 4743.398715  -0.294405   0.004103   0.017174
  6:  -4.882077 -132.690578 4743.243720   0.869405  -0.009687  -0.040556
  7:  -4.882430 -132.690233 4742.533080  -0.156966  -0.005125  -0.021450
  8:  -4.883143 -132.689708 4743.319615   0.774919   0.030862   0.129202
  9:  -4.883957 -132.689035 4746.664137   1.313133   0.079375   0.332551
 10:  -4.884765 -132.688328 4752.894151   1.048661   0.118319   0.496355
 11:  -4.885473 -132.687812 4760.472770   0.989268   0.143613   0.603412
 12:  -4.886192 -132.687243 4770.355919  -0.090999   0.144452   0.608097
 13:  -4.886658 -132.687040 4777.067940   2.914765   0.079667   0.335998
 14:  -4.886882 -132.687107 4779.699221   0.498190   0.022708   0.095793
 15:  -4.886983 -132.687382 4779.878478   0.274966  -0.009016  -0.038031
 16:  -4.887012 -132.687818 4778.752741   1.716025  -0.021734  -0.091677
 17:  -4.887005 -132.688380 4777.430869  -0.454058  -0.023129  -0.097505
 18:  -4.886938 -132.689040 4776.107581   0.274517  -0.027766  -0.117037
 19:  -4.886738 -132.689662 4774.068940  -0.984866  -0.036777  -0.154921
 20:  -4.886440 -132.690207 4771.640894   1.182941  -0.034048  -0.143397
 21:  -4.886163 -132.690600 4769.783314   2.614026   0.009836   0.041417
