Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000024) 
Lon:   -131.91041 deg (0.000013) 
X:     -291.2 m (1.5) 
Y:    -170.4 m (2.6) 
Depth: -4742.8 m (5.3) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1506.4 m/s (1.582047)
Drift Lon: -291.241114 m (1.488479) 
Drift Lat: -170.447219 m (2.600528) 
Drift:    337.453492 m (2.024365) 
Drift Azi: 239.662236 deg (0.375059)
dz: 88.234351 m (5.320389)

RMS:  1.6239 ms (0.401906)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.838383  -1.460875  -0.282266  -1.194110
  2:  -6.291727 -131.904583 4786.432853   0.260592  -0.277146  -1.171525
  3:  -6.291528 -131.905462 4774.304835  -0.537155  -0.248672  -1.048472
  4:  -6.291453 -131.905705 4771.315613  -0.580510  -0.231649  -0.976054
  5:  -6.291395 -131.905908 4768.941448   0.480270  -0.215615  -0.908105
  6:  -6.291107 -131.907010 4758.022191   0.002685  -0.162063  -0.680986
  7:  -6.291060 -131.907202 4756.455750   0.075716  -0.149403  -0.627568
  8:  -6.290200 -131.908420 4750.485940  -0.890083   0.031923   0.133918
  9:  -6.288767 -131.908090 4760.199650  -0.811867   0.245286   1.031101
 10:  -6.287128 -131.907217 4781.811062  -0.515767   0.460060   1.942803
 11:  -6.285167 -131.906347 4817.229413  -0.555993   0.690853   2.938915
 12:  -6.283137 -131.905523 4864.858723  -0.801877   0.886475   3.808142
 13:  -6.281080 -131.904713 4924.469580   2.763893   1.084090   4.716126
 14:  -6.278448 -131.903692 5016.870230   3.990718   0.990213   4.389871
 15:  -6.273580 -131.905212 5177.407962  -3.363768   0.289843   1.323981
 16:  -6.273465 -131.907800 5158.378005   2.101716  -0.196313  -0.894649
 17:  -6.273525 -131.910430 5147.691349  -0.350486  -0.157607  -0.716332
 18:  -6.273922 -131.912477 5135.880639  -0.625121  -0.477584  -2.165567
 19:  -6.283453 -131.922892 5021.622338  -0.020865  -0.044119  -0.195640
 20:  -6.286257 -131.923725 5001.590980   0.527960  -0.221506  -0.978441
 21:  -6.288412 -131.924007 4988.259241  -1.532944  -0.207748  -0.914819
 22:  -6.290513 -131.923982 4976.287129  -0.701938  -0.171833  -0.754988
 23:  -6.293153 -131.923657 4966.931797  -1.260530  -0.067595  -0.296424
 24:  -6.295177 -131.923190 4964.634793  -0.302949  -0.035966  -0.157670
 25:  -6.297157 -131.922403 4962.775751   0.144721  -0.038340  -0.168031
 26:  -6.298990 -131.921278 4960.202277   0.508942  -0.025739  -0.112750
 27:  -6.301560 -131.919178 4964.148886  -0.610490   0.113841   0.498981
 28:  -6.303075 -131.917572 4972.507806  -0.717787   0.133543   0.586321
 29:  -6.305237 -131.914290 4994.504165   3.691156   0.197371   0.871079
 30:  -6.305837 -131.912313 5000.941577  -0.556310   0.083139   0.367125
 31:  -6.306145 -131.909607 5008.139914   2.707341   0.215002   0.951266
 32:  -6.306398 -131.907475 5026.919428   0.918320   0.308463   1.369426
 33:  -6.306340 -131.905357 5045.410871   3.150800   0.258503   1.152354
 34:  -6.305842 -131.903327 5057.821750  -0.079870   0.237652   1.061416
 35:  -6.305165 -131.901338 5073.972090  -0.478424   0.298517   1.337393
 36:  -6.304345 -131.899448 5093.668637  -0.610285   0.319629   1.437498
 37:  -6.303232 -131.897627 5113.105190  -2.316322   0.297272   1.341564
 38:  -6.301868 -131.896037 5129.150075  -2.583347   0.254064   1.150086
 39:  -6.300270 -131.894625 5143.945101  -1.319546   0.267303   1.213804
 40:  -6.298510 -131.893337 5161.795713  -0.127833   0.281524   1.283109
 41:  -6.296587 -131.892307 5177.740586  -1.216614   0.303052   1.385220
 42:  -6.294602 -131.891417 5198.116856  -0.339720   0.258843   1.187947
 43:  -6.292435 -131.890960 5209.115214  -0.877573   0.164614   0.757008
 44:  -6.290087 -131.890790 5218.902077   0.026905   0.054889   0.252938
 45:  -6.287958 -131.891167 5214.689559  -0.343767  -0.715638  -3.294973
 46:  -6.287698 -131.893177 5130.232356   3.521004  -1.301729  -5.900841
 47:  -6.288135 -131.894955 5056.466906   1.626959  -1.170835  -5.229169
