Bootstrap inversion results (2sigma uncertainty)
Station: WC03
Lat:   -5.70770 deg (0.000013) 
Lon:   -134.09131 deg (0.000016) 
X:     -28.8 m (1.7) 
Y:    15.2 m (1.4) 
Depth: -4483.4 m (6.7) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.978937)
Drift Lon: -28.776210 m (1.731214) 
Drift Lat: 15.248362 m (1.438193) 
Drift:    32.578365 m (1.412124) 
Drift Azi: 297.931432 deg (3.077426)
dz: 6.610994 m (6.708629)

RMS:  1.4236 ms (0.354514)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.705850 -134.093805 4496.567927   3.976814   0.000000   0.000000
  2:  -5.705850 -134.093805 4496.567927  -1.490170  -0.034803  -0.138100
  3:  -5.706273 -134.093505 4492.757729  -0.559206  -0.063607  -0.252200
  4:  -5.706772 -134.093118 4489.042048  -1.521004  -0.054396  -0.215480
  5:  -5.707555 -134.092832 4486.586819  -0.335308  -0.014811  -0.058649
  6:  -5.708542 -134.092862 4487.643898   1.093137   0.060809   0.240869
  7:  -5.709680 -134.093425 4494.832211  -2.109557   0.191947   0.761320
  8:  -5.710600 -134.094958 4512.960695  -0.351806   0.394534   1.571430
  9:  -5.711332 -134.096932 4544.192557   1.040119   0.623580   2.501197
 10:  -5.712070 -134.098982 4588.712827   0.985425   0.834792   3.381035
 11:  -5.713035 -134.100848 4643.808442  -0.978386   1.018542   4.173635
 12:  -5.714982 -134.104492 4783.398590   3.246558   1.290588   5.451855
 13:  -5.718332 -134.107925 4986.967855   1.157614   0.475436   2.092936
 14:  -5.729473 -134.089637 5092.303109  -0.299726   0.375403   1.686654
 15:  -5.729188 -134.087642 5090.336923  -1.456257  -0.307591  -1.381010
 16:  -5.726807 -134.084257 5017.428351   2.642585  -0.561912  -2.489309
 17:  -5.725347 -134.082980 4975.883657   0.134168  -0.678649  -2.979929
 18:  -5.723712 -134.081717 4936.025055  -1.739533  -0.604722  -2.633053
 19:  -5.719640 -134.078702 4877.917893   0.187968  -0.202457  -0.871466
 20:  -5.717892 -134.077468 4870.447095  -0.836950  -0.055791  -0.239748
 21:  -5.716077 -134.076282 4871.300867   0.922382   0.035558   0.152880
 22:  -5.714112 -134.075253 4875.093340  -0.974876   0.104891   0.451153
 23:  -5.712147 -134.074407 4883.454537  -0.133481   0.072213   0.311185
 24:  -5.710057 -134.073987 4883.722793  -1.403412  -0.092928  -0.400395
 25:  -5.707820 -134.074083 4872.592244   0.244295  -0.172737  -0.742770
 26:  -5.705458 -134.074435 4863.786501  -1.920197  -0.043615  -0.187140
 27:  -5.703177 -134.074822 4866.931380  -0.209494   0.079860   0.342984
 28:  -5.701015 -134.075420 4872.958867   0.726654  -0.026543  -0.114152
 29:  -5.699027 -134.076648 4864.032563   1.514347  -0.141593  -0.607908
 30:  -5.697183 -134.078140 4856.139877  -0.832257  -0.059935  -0.256801
 31:  -5.695565 -134.079620 4855.823134   2.353719  -0.018735  -0.080310
 32:  -5.694242 -134.081260 4853.430838   0.657524  -0.070221  -0.300779
 33:  -5.693163 -134.083165 4847.650341   0.358534  -0.029652  -0.126855
 34:  -5.692172 -134.085115 4849.871937   1.338887  -0.006072  -0.025993
 35:  -5.691568 -134.087197 4846.811930  -0.460633  -0.091432  -0.391031
 36:  -5.691353 -134.089368 4838.972078  -0.090821  -0.029586  -0.126334
 37:  -5.691137 -134.091547 4843.273627   1.110217   0.053189   0.227379
 38:  -5.691260 -134.093783 4845.813081  -0.171445   0.030594   0.130823
 39:  -5.691695 -134.095832 4846.143953   0.354361  -0.021169  -0.090534
 40:  -5.692447 -134.097748 4843.089291   0.386815   0.020576   0.087947
 41:  -5.693240 -134.099632 4848.536761  -1.660335   0.038939   0.166546
 42:  -5.694402 -134.101365 4848.171877  -1.214859  -0.057999  -0.248068
 43:  -5.695827 -134.102768 4841.125930   0.048156  -0.136926  -0.584956
 44:  -5.697648 -134.104037 4829.531055  -1.421782  -0.240934  -1.026512
 45:  -5.698920 -134.104278 4807.040559  -2.509518  -0.382443  -1.621467
 46:  -5.699865 -134.104133 4782.226044   0.218795  -0.513330  -2.166435
 47:  -5.701277 -134.102240 4698.043605  -0.016728  -0.546898  -2.267449
