#==============================================================================
# EdgeNmea_Universal_0.9.py VERSION 0.0.9
# UTC Date and Time:    2023-04-06 05:09:59
# Cruise:               Hooft_Galapagos_Plume
# Station:              13
# Instrument:           S05
# Drop-Point Latitude:  01 35.6114 N
# Drop-Point Longitude: 91 48.5609 W
# Drop-Point Depth (m): 2318
# Deck box:             59923
# Transducer:           HullDucer
# TAT:                  13 ms
# Speed of Sound:       1500 m/s
# Comment: none
#
#==============================================================================
# Sys date time utc, rng m,rng ms,    latitude  ,    longitude  , GPS time, heading
2023-04-06 05:10:05,  2329,  3106, 01 35.6648 N, 091 48.5082 W, 05:10:03.00, 84.1
2023-04-06 05:10:20,  2328,  3104, 01 35.6630 N, 091 48.5069 W, 05:10:18.00, 142.8
2023-04-06 05:10:35,  2330,  3107, 01 35.6606 N, 091 48.5058 W, 05:10:33.00, 141.4
2023-04-06 05:10:50,  2330,  3107, 01 35.6578 N, 091 48.5044 W, 05:10:48.00, 145.2
2023-04-06 05:11:05,  2331,  3108, 01 35.6542 N, 091 48.5027 W, 05:11:03.00, 166.2
2023-04-06 05:11:20,  2331,  3109, 01 35.6506 N, 091 48.5008 W, 05:11:18.00, 135.4
2023-04-06 05:11:35,  2331,  3109, 01 35.6470 N, 091 48.4991 W, 05:11:33.00, 135.0
2023-04-06 05:11:50,  2331,  3109, 01 35.6431 N, 091 48.4977 W, 05:11:48.00, 160.6
2023-04-06 05:12:05,  2333,  3111, 01 35.6396 N, 091 48.4965 W, 05:12:03.00, 162.0
2023-04-06 05:12:20,  2333,  3111, 01 35.6366 N, 091 48.4966 W, 05:12:18.00, 211.2
2023-04-06 05:12:35,  2334,  3112, 01 35.6326 N, 091 48.4976 W, 05:12:34.00, 170.2
2023-04-06 05:12:50,  2335,  3114, 01 35.6288 N, 091 48.5000 W, 05:12:49.00, 231.9
2023-04-06 05:13:06,  2335,  3114, 01 35.6244 N, 091 48.5033 W, 05:13:04.00, 227.7
2023-04-06 05:13:21,  2337,  3116, 01 35.6189 N, 091 48.5074 W, 05:13:19.00, 222.1
2023-04-06 05:13:36,  2339,  3119, 01 35.6135 N, 091 48.5129 W, 05:13:34.00, 216.5
2023-04-06 05:13:51,  2340,  3120, 01 35.6079 N, 091 48.5196 W, 05:13:49.00, 238.4
2023-04-06 05:14:06,  2340,  3121, 01 35.6027 N, 091 48.5280 W, 05:14:04.00, 236.7
2023-04-06 05:14:21,  2344,  3126, 01 35.5981 N, 091 48.5376 W, 05:14:19.00, 242.5
2023-04-06 05:14:36,  2345,  3127, 01 35.5946 N, 091 48.5485 W, 05:14:34.00, 265.8
2023-04-06 05:14:51,  2346,  3128, 01 35.5931 N, 091 48.5605 W, 05:14:49.00, 259.2
2023-04-06 05:15:06,  2347,  3130, 01 35.5939 N, 091 48.5731 W, 05:15:04.00, 296.8
2023-04-06 05:15:21,  2349,  3132, 01 35.5987 N, 091 48.5855 W, 05:15:19.00, 298.0
2023-04-06 05:15:36,  2349,  3133, 01 35.6044 N, 091 48.5991 W, 05:15:35.00, 284.9
2023-04-06 05:15:51,  2351,  3135, 01 35.6105 N, 091 48.6124 W, 05:15:50.00, 298.8
2023-04-06 05:16:07,  2353,  3138, 01 35.6146 N, 091 48.6265 W, 05:16:05.00, 277.1
2023-04-06 05:16:22,  2355,  3141, 01 35.6163 N, 091 48.6410 W, 05:16:20.00, 266.1
2023-04-06 05:16:37,  2361,  3148, 01 35.6165 N, 091 48.6557 W, 05:16:35.00, 272.7
2023-04-06 05:16:52,  2365,  3154, 01 35.6153 N, 091 48.6708 W, 05:16:50.00, 260.2
2023-04-06 05:17:07,  2370,  3160, 01 35.6136 N, 091 48.6866 W, 05:17:05.00, 260.7
2023-04-06 05:17:22,  2376,  3168, 01 35.6129 N, 091 48.7030 W, 05:17:20.00, 273.0
2023-04-06 05:17:37,  2382,  3176, 01 35.6122 N, 091 48.7198 W, 05:17:35.00, 261.3
2023-04-06 05:17:52,  2388,  3184, 01 35.6118 N, 091 48.7371 W, 05:17:50.00, 269.1
2023-04-06 05:18:07,  2395,  3194, 01 35.6111 N, 091 48.7546 W, 05:18:05.00, 269.0
2023-04-06 05:18:22,  2403,  3204, 01 35.6107 N, 091 48.7737 W, 05:18:21.00, 273.4
2023-04-06 05:18:37,  2411,  3215, 01 35.6102 N, 091 48.7918 W, 05:18:36.00, 268.8
2023-04-06 05:18:52,  2420,  3227, 01 35.6102 N, 091 48.8102 W, 05:18:51.00, 267.1
2023-04-06 05:19:08,  2430,  3240, 01 35.6101 N, 091 48.8287 W, 05:19:06.00, 274.6
2023-04-06 05:19:23,  2440,  3254, 01 35.6101 N, 091 48.8477 W, 05:19:21.00, 268.8
2023-04-06 05:19:38,  2450,  3267, 01 35.6095 N, 091 48.8671 W, 05:19:36.00, 261.0
2023-04-06 05:19:53,  2462,  3283, 01 35.6099 N, 091 48.8868 W, 05:19:51.00, 276.4
2023-04-06 05:20:08,  2473,  3298, 01 35.6093 N, 091 48.9066 W, 05:20:06.00, 265.3
2023-04-06 05:20:23,  2486,  3315, 01 35.6095 N, 091 48.9266 W, 05:20:21.00, 269.3
2023-04-06 05:20:38,  2499,  3333, 01 35.6096 N, 091 48.9468 W, 05:20:36.00, 274.4
2023-04-06 05:20:53,  2514,  3352, 01 35.6094 N, 091 48.9671 W, 05:20:51.00, 263.7
2023-04-06 05:21:08,  2527,  3370, 01 35.6099 N, 091 48.9890 W, 05:21:07.00, 269.3
2023-04-06 05:21:23,  2541,  3389, 01 35.6098 N, 091 49.0094 W, 05:21:22.00, 272.8
2023-04-06 05:21:39,  2558,  3411, 01 35.6102 N, 091 49.0300 W, 05:21:37.00, 268.0
2023-04-06 05:21:53,  2029,  2706, 01 35.6105 N, 091 49.0491 W, 05:21:51.00, 275.0
2023-04-06 05:22:09,  2589,  3453, 01 35.6105 N, 091 49.0711 W, 05:22:07.00, 269.6
2023-04-06 05:22:24,  2607,  3477, 01 35.6106 N, 091 49.0917 W, 05:22:22.00, 273.8
2023-04-06 05:22:39,  2623,  3498, 01 35.6107 N, 091 49.1122 W, 05:22:37.00, 266.0
2023-04-06 05:22:54,  2641,  3522, 01 35.6107 N, 091 49.1327 W, 05:22:52.00, 270.8
2023-04-06 05:23:09,  2660,  3547, 01 35.6113 N, 091 49.1532 W, 05:23:07.00, 273.9
2023-04-06 05:23:24,  2678,  3571, 01 35.6118 N, 091 49.1750 W, 05:23:23.00, 273.5
2023-04-06 05:23:39,  2697,  3596, 01 35.6122 N, 091 49.1956 W, 05:23:38.00, 269.7
2023-04-06 05:23:54,  2716,  3622, 01 35.6128 N, 091 49.2160 W, 05:23:53.00, 270.8
