#==============================================================================
# EdgeNmea_Universal_0.9.py VERSION 0.0.9
# UTC Date and Time:    2023-03-29 14:52:38
# Cruise:               Hooft_Galapagos_Plume
# Station:              44
# Instrument:           T104
# Drop-Point Latitude:  1 49.8531 S
# Drop-Point Longitude: 93 51.1138 W
# Drop-Point Depth (m): 3425
# Deck box:             59923
# Transducer:           HullDucer
# TAT:                  13 ms
# Speed of Sound:       1500 m/s
# Comment: 
#
#==============================================================================
# Sys date time utc, rng m,rng ms,    latitude  ,    longitude  , GPS time, heading
2023-03-29 14:52:38,  3421,  4562, 01 49.8593 S, 093 51.1067 W, 14:52:00.00, 310.8
2023-03-29 14:52:53,  3421,  4562, 01 49.8582 S, 093 51.1070 W, 14:52:42.00, 56.0
2023-03-29 14:53:08,  3421,  4562, 01 49.8572 S, 093 51.1077 W, 14:52:57.00, 50.2
2023-03-29 14:53:23,  3421,  4562, 01 49.8567 S, 093 51.1079 W, 14:53:12.00, 315.1
2023-03-29 14:53:38,  3421,  4562, 01 49.8559 S, 093 51.1085 W, 14:53:27.00, 316.4
2023-03-29 14:53:53,  3421,  4562, 01 49.8551 S, 093 51.1087 W, 14:53:42.00, 59.4
2023-03-29 14:54:08,  3421,  4562, 01 49.8549 S, 093 51.1080 W, 14:53:58.00, 109.2
2023-03-29 14:54:24,  3421,  4562, 01 49.8538 S, 093 51.1089 W, 14:54:13.00, 326.3
2023-03-29 14:54:39,  3421,  4562, 01 49.8532 S, 093 51.1090 W, 14:54:28.00, 33.3
2023-03-29 14:54:54,  3421,  4562, 01 49.8528 S, 093 51.1087 W, 14:54:43.00, 104.3
2023-03-29 14:55:09,  3421,  4562, 01 49.8524 S, 093 51.1083 W, 14:54:58.00, 335.6
2023-03-29 14:55:24,  3421,  4562, 01 49.8513 S, 093 51.1086 W, 14:55:13.00, 105.5
2023-03-29 14:55:39,  3421,  4562, 01 49.8512 S, 093 51.1079 W, 14:55:28.00, 120.8
2023-03-29 14:55:54,  3421,  4562, 01 49.8502 S, 093 51.1079 W, 14:55:43.00, 3.3
2023-03-29 14:56:09,  3421,  4562, 01 49.8497 S, 093 51.1074 W, 14:55:58.00, 73.7
2023-03-29 14:56:24,  3421,  4562, 01 49.8490 S, 093 51.1070 W, 14:56:13.00, 26.3
